Feature,Importance
LOS,0.0751990622383627
OXYGEN_SAT_MEAN,0.05343446104510928
AGE_AT_ADMISSION,0.04336838087830143
SBP_MEAN,0.041516251625344364
PLATELET_MIN_VAL,0.03997843273489437
HEARTRATE_MEAN,0.0395753096345336
TEMP_MIN_C,0.03936314414109013
WEIGHT_MEAN,0.03915667520754803
DBP_MEAN,0.03862787206256848
LOS_ICU_MEAN,0.03814046174282419
RR_MEAN,0.037662277725471434
HEMOGLOBIN_MIN_VAL,0.035895643404254864
TEMP_MAX_C,0.03564243164480918
BUN_MAX_VAL,0.035147285383892744
MAP_MEAN,0.034835832439807125
